Company,TypeName,Ram(GB),Weight(kg),Touchscreen,IPS,PPI,Cpu_Brand,HDD(GB),SSD(GB),Hybrid(GB),Flash_Storage(GB),Gpu_Brand,Os,Price_BDT
Asus,Notebook,4,2.0,0,0,141.21199808219862,Other Intel processors,1024,0,0,0,Intel,Windows,10.632532624093058
HP,Notebook,8,2.1,0,1,141.21199808219862,Intel Core i3,1024,0,0,0,Nvidia,Windows,11.365573289518869
HP,Notebook,4,1.64,0,0,111.93520355955212,Intel Core i5,512,0,0,0,Intel,Windows,11.449900464548778
Dell,Notebook,8,2.18,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Windows,11.463682698391777
Dell,Ultrabook,8,1.2,0,0,165.6321180513006,Intel Core i7,0,256,0,0,Intel,Windows,12.156441127521845
MSI,Gaming,16,2.9,0,0,127.33567457123112,Intel Core i7,1024,512,0,0,Nvidia,Windows,12.581349986973468
Dell,Workstation,16,2.17,0,1,141.21199808219862,Intel Core i7,0,512,0,0,Nvidia,Windows,12.54894932982438
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Windows,11.473259052507764
Asus,2 in 1 Convertible,4,1.5,1,0,135.0942111925629,Other Intel processors,0,0,0,32,Intel,Windows,10.718808117053747
Asus,Gaming,8,2.3,0,1,141.21199808219862,Intel Core i5,1024,128,0,0,Nvidia,Windows,12.199818126742285
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows,11.687576007959835
HP,Notebook,4,1.86,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Intel,Windows,10.942491369598926
Lenovo,Gaming,8,2.4,0,1,141.21199808219862,Intel Core i5,1024,128,0,0,Nvidia,Others/No OS/Linux,11.487689704901968
Dell,Notebook,16,1.93,0,0,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows,12.129736808912964
Lenovo,Notebook,12,2.2,1,0,100.45466986113652,Intel Core i7,1024,0,0,0,Intel,Windows,11.20370646218779
Lenovo,Notebook,4,2.2,0,0,141.21199808219862,AMD Processor,0,256,0,0,AMD,Windows,10.780850328399447
Dell,2 in 1 Convertible,8,1.56,1,0,141.21199808219862,Intel Core i7,0,256,0,0,Intel,Windows,11.747483621099692
Lenovo,Notebook,4,1.85,0,0,141.21199808219862,Intel Core i3,0,128,0,0,Intel,Others/No OS/Linux,10.792057591809684
Asus,Ultrabook,8,1.45,0,0,165.6321180513006,Intel Core i7,0,256,0,0,Intel,Windows,11.946511448795048
Toshiba,Notebook,4,1.75,0,0,111.93520355955212,Intel Core i5,512,0,0,0,Intel,Windows,11.610814135789338
Dell,Notebook,8,2.09,0,0,141.21199808219862,Intel Core i5,512,0,0,0,Intel,Windows,11.745044614814624
Acer,2 in 1 Convertible,8,1.2,1,1,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows,11.838538958256564
Samsung,Ultrabook,8,0.81,0,0,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,12.104449581335809
MSI,Gaming,8,2.9,0,0,127.33567457123112,Intel Core i7,1024,128,0,0,Nvidia,Windows,12.112547371832768
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,1024,0,0,0,AMD,Others/No OS/Linux,11.188648562048892
HP,Notebook,2,1.44,0,0,111.93520355955212,Other Intel processors,0,0,0,32,Intel,Windows,10.423084594689206
