iter	RMSE
0	0.5843765931
1	0.549035442
2	0.5156476333
3	0.484655576
4	0.4574013159
5	0.4338579978
6	0.4130261485
7	0.3925827108
8	0.3757164543
9	0.3582853256
10	0.345788234
11	0.3327593003
12	0.3200507792
13	0.3109683783
14	0.3024165955
15	0.2948166713
16	0.2884770364
17	0.2812288133
18	0.2747918746
19	0.269512489
20	0.2643564755
21	0.259602787
22	0.2555676393
23	0.251830212
24	0.2485915268
25	0.2453315336
26	0.242716023
27	0.2399489356
28	0.2369064211
29	0.2346571762
30	0.2320944536
31	0.2306530298
32	0.2285226545
33	0.2270597231
34	0.2257280078
35	0.2242952568
36	0.2230257721
37	0.2218500151
38	0.2202794819
39	0.2193324965
40	0.2179276392
41	0.2165640943
42	0.2158166441
43	0.2149897744
44	0.2141002936
45	0.2127071446
46	0.2120565253
47	0.211202996
48	0.2101500242
49	0.2094281974
50	0.2086705539
51	0.2078831413
52	0.2074067269
53	0.2069209272
54	0.2062793762
55	0.2058016635
56	0.2046112383
57	0.2042110579
58	0.2038209331
59	0.2032178808
60	0.2025930184
61	0.2019842823
62	0.2014795641
63	0.2009072413
64	0.2003190264
65	0.1997611395
66	0.1987438734
67	0.1982565932
68	0.1975825702
69	0.1973215675
70	0.1969019144
71	0.1960572901
72	0.1957709594
73	0.1948043314
74	0.1940718808
75	0.19340572
76	0.1926487199
77	0.1916546504
78	0.1911939814
79	0.1903769498
80	0.1899258509
81	0.1894464468
82	0.1886262718
83	0.1878781689
84	0.1872067697
85	0.1864839526
86	0.1857920941
87	0.1853482045
88	0.1843936192
89	0.1840960219
90	0.183366076
91	0.1826538617
92	0.1819041142
93	0.1814637241
94	0.1811949552
95	0.1804702298
96	0.1798430623
97	0.1791377711
98	0.1785394426
99	0.1779297224
