iter	Passed	Remaining
0	1	123
1	2	113
2	3	113
3	4	110
4	5	108
5	6	106
6	7	104
7	8	103
8	10	101
9	11	100
10	12	98
11	13	97
12	14	96
13	15	94
14	16	93
15	17	92
16	18	90
17	19	89
18	20	88
19	21	87
20	22	86
21	23	85
22	25	83
23	26	82
24	27	81
25	28	80
26	29	79
27	30	78
28	31	77
29	32	75
30	33	74
31	34	73
32	35	72
33	36	71
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	42	64
40	43	63
41	44	61
42	45	60
43	46	59
44	48	58
45	49	57
46	49	56
47	50	55
48	51	54
49	53	53
50	54	51
51	55	50
52	56	49
53	57	48
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	82	23
78	83	22
79	84	21
80	85	19
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
