Company,TypeName,Ram(GB),Weight(kg),Touchscreen,IPS,PPI,Cpu_Brand,HDD(GB),SSD(GB),Hybrid(GB),Flash_Storage(GB),Gpu_Brand,Os,Price_BDT
Apple,Ultrabook,8,1.37,0,1,226.98300468106115,Intel Core i5,0,128,0,0,Intel,Mac OS,11.992087032000729
Apple,Ultrabook,8,1.34,0,0,127.67794013309688,Intel Core i5,0,0,0,128,Intel,Mac OS,11.593112777572584
HP,Notebook,8,1.86,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Others/No OS/Linux,11.146257903569976
Apple,Ultrabook,16,1.83,0,1,220.53462386625827,Intel Core i7,0,512,0,0,AMD,Mac OS,12.630810828981923
Apple,Ultrabook,8,1.37,0,1,226.98300468106115,Intel Core i5,0,256,0,0,Intel,Mac OS,12.289434454273202
Acer,Notebook,4,2.1,0,0,100.45466986113651,AMD Processor,512,0,0,0,AMD,Windows,10.783363231708234
Apple,Ultrabook,16,2.04,0,1,220.53462386625827,Intel Core i7,0,0,0,256,Intel,Mac OS,12.460443509260957
Apple,Ultrabook,8,1.34,0,0,127.67794013309688,Intel Core i5,0,0,0,256,Intel,Mac OS,11.846951855804862
Asus,Ultrabook,16,1.3,0,0,157.3505121487356,Intel Core i7,0,512,0,0,Nvidia,Windows,12.101778228054345
Acer,Ultrabook,8,1.6,0,1,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,11.438288121955242
HP,Notebook,4,1.86,0,0,100.45466986113651,Intel Core i5,512,0,0,0,Intel,Others/No OS/Linux,10.767979599176396
HP,Notebook,4,1.86,0,0,141.21199808219862,Intel Core i3,512,0,0,0,Intel,Others/No OS/Linux,10.635398611146856
Apple,Ultrabook,16,1.83,0,1,220.53462386625827,Intel Core i7,0,256,0,0,AMD,Mac OS,12.59163772159847
Dell,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i3,0,256,0,0,AMD,Windows,11.004297424747724
Apple,Ultrabook,8,0.92,0,1,226.41554716935852,Other Intel processors,0,256,0,0,Intel,Mac OS,11.932668161496524
Apple,Ultrabook,8,1.37,0,1,226.98300468106115,Intel Core i5,0,256,0,0,Intel,Mac OS,12.117405352814007
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,0,256,0,0,AMD,Windows,11.405273436913294
Apple,Ultrabook,16,1.83,0,1,220.53462386625827,Intel Core i7,0,512,0,0,AMD,Mac OS,12.749773894889605
Lenovo,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Nvidia,Others/No OS/Linux,11.004496965803959
Dell,Ultrabook,8,1.22,1,1,165.6321180513006,Intel Core i5,0,128,0,0,Intel,Windows,11.678422954151621
Asus,Netbook,2,0.98,0,0,135.0942111925629,Other Intel processors,0,0,0,32,Intel,Windows,10.0488425203955
Lenovo,Gaming,8,2.5,0,1,141.21199808219862,Intel Core i5,1024,128,0,0,Nvidia,Windows,11.698649559893719
HP,Notebook,4,1.86,0,0,100.45466986113651,AMD Processor,512,0,0,0,AMD,Others/No OS/Linux,10.344834472532058
Dell,2 in 1 Convertible,8,1.62,1,0,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,11.499982059334299
HP,Ultrabook,8,1.91,0,0,141.21199808219862,Intel Core i7,0,256,0,0,Intel,Windows,11.282618819846302
Dell,Notebook,4,2.3,0,0,100.45466986113651,Intel Core i3,1024,0,0,0,Intel,Windows,10.82889658605481
Apple,Ultrabook,8,1.35,0,0,127.67794013309688,Intel Core i5,0,0,0,128,Intel,Mac OS,11.794051090822764
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Windows,11.47651041226818
